domain,proveniencia_auto,proveniencia_humano
40graus.com.br,desconhecido,
acessepolitica.com.br,desconhecido,
acritica.net,desconhecido,
agenciagbc.com,desconhecido,
agencialupa.org,desconhecido,
agendadopoder.com.br,desconhecido,
amazonasreporter.com,desconhecido,
areavip.com.br,desconhecido,
bahianoticias.com.br,desconhecido,
baluartv.com.br,desconhecido,
band.com.br,desconhecido,
bbc.com,imprensa_estabelecida,
beta.correiodopovo.com.br,desconhecido,
blogdaboitempo.com.br,desconhecido,
blogdobg.com.br,desconhecido,
boca.com.br,desconhecido,
boletimnacional.com.br,imprensa_estabelecida,
br.headtopics.com,desconhecido,
brainlatam.com,desconhecido,
brasil247.com,desconhecido,
brasilagro.com.br,desconhecido,
canalmeio.com.br,imprensa_estabelecida,
candidolourencon.com.br,desconhecido,
cartacapital.com.br,imprensa_estabelecida,
cbn.globo.com,desconhecido,
checamos.afp.com,desconhecido,
circuitoitaquera.com.br,desconhecido,
claudiodantas.com.br,desconhecido,
cnnbrasil.com.br,imprensa_estabelecida,
contee.org.br,desconhecido,
correiobraziliense.com.br,desconhecido,
crentenews.com.br,desconhecido,
datafolha.folha.uol.com.br,instituto_pesquisa,
diariodecuiaba.com.br,desconhecido,
diariodocomercio.com.br,desconhecido,
dw.com,imprensa_estabelecida,
em.com.br,imprensa_estabelecida,
esmaelmorais.com.br,desconhecido,
estadao.com.br,imprensa_estabelecida,
ethoss.com.br,desconhecido,
etopsaber.com.br,desconhecido,
exame.com,imprensa_estabelecida,
expressorio.com.br,desconhecido,
falacanedo.com.br,imprensa_estabelecida,
fatoamazonico.com.br,desconhecido,
fetransportes.org.br,desconhecido,
folhadoestado.com.br,desconhecido,
folhape.com.br,imprensa_estabelecida,
folharionegro.com.br,desconhecido,
folhavitoria.com.br,desconhecido,
g1.globo.com,imprensa_estabelecida,
gazetadopovo.com.br,imprensa_estabelecida,
gazetamercantil.com,desconhecido,
gazetaweb.com,desconhecido,
gcmais.com.br,desconhecido,
globorural.globo.com,desconhecido,
gp1.com.br,imprensa_estabelecida,
grabois.org.br,desconhecido,
iamonitornews.com.br,desconhecido,
infomoney.com.br,desconhecido,
informaparaiba.com.br,imprensa_estabelecida,
infoverus.com.br,desconhecido,
ipsos.com,desconhecido,
itatiaia.com.br,desconhecido,
jc.uol.com.br,desconhecido,
jornaldaterra.com.br,desconhecido,
jornaldebrasilia.com.br,desconhecido,
jornaliconic.com.br,imprensa_estabelecida,
jornalportaldoparana.com.br,desconhecido,
jota.info,desconhecido,
jovempan.com.br,desconhecido,
leiahoje.com.br,desconhecido,
login.academia.org.br,desconhecido,
melhorinvestimento.net,desconhecido,
metropoles.com,imprensa_estabelecida,
midianews.com.br,desconhecido,
minaspetro.com.br,desconhecido,
motorista.com.br,imprensa_estabelecida,
mst.org.br,desconhecido,
nexojornal.com.br,desconhecido,
noticias-do-brasil.news,desconhecido,
noticias.r7.com,imprensa_estabelecida,
noticias.uol.com.br,imprensa_estabelecida,
noticiascapixaba.com.br,desconhecido,
noticiaspb.com.br,desconhecido,
novo2026.portaldoholanda.com.br,desconhecido,
novojornal.com.br,desconhecido,
oantagonista.com.br,desconhecido,
observo.com.br,desconhecido,
ocafezinho.com,desconhecido,
oeco.org.br,desconhecido,
oglobo.globo.com,imprensa_estabelecida,
oparlamento.com.br,desconhecido,
opovo.com.br,desconhecido,
otempo.com.br,imprensa_estabelecida,
performance.veja.abril.com.br,desconhecido,
plox.com.br,desconhecido,
poder360.com.br,imprensa_estabelecida,
podernacional.com.br,desconhecido,
pontodepauta.com,desconhecido,
portal6.com.br,desconhecido,
portaldoholanda.com.br,imprensa_estabelecida,
portaln10.com.br,desconhecido,
pt.euronews.com,desconhecido,
pt.org.br,campanha_partido,
ptsaopaulo.org.br,desconhecido,
radiopampa.com.br,desconhecido,
redeondadigital.com.br,imprensa_estabelecida,
redept.com.br,desconhecido,
revistacenarium.com.br,desconhecido,
revistaforum.com.br,imprensa_estabelecida,
revistaoeste.com,imprensa_estabelecida,
revistav.com.br,desconhecido,
romanews.com.br,desconhecido,
s3.regiopolis.cloud,desconhecido,
saibamais.jor.br,desconhecido,
semanaon.com.br,desconhecido,
senalbamg.org.br,desconhecido,
setcesp.org.br,institucional,
seudinheiro.com,imprensa_estabelecida,
soudejuazeiro.com.br,desconhecido,
static.congressoemfoco.com.br,imprensa_estabelecida,
static.ndmais.com.br,imprensa_estabelecida,
static.poder360.com.br,imprensa_estabelecida,
sumauma.com,desconhecido,
tempodesafra.com.br,desconhecido,
terra.com.br,desconhecido,
tmc.com.br,desconhecido,
trbn.com.br,desconhecido,
tse.jus.br,institucional,
tvfloridausa.com,desconhecido,
tvfoco.correiobraziliense.com.br,desconhecido,
tvpampa.com.br,desconhecido,
tvtnews.com.br,desconhecido,
valor.globo.com,imprensa_estabelecida,
veja.abril.com.br,imprensa_estabelecida,
veronoticias.com,desconhecido,
www1.folha.uol.com.br,imprensa_estabelecida,
