pair_id,model_key,dim_id,iter,order,nota_L,nota_F,delta,abst,delta_z
chatgpt|m2|D1|i1,chatgpt,D1,1,LF,8.0,5.0,3.0,,1.2063563884279649
chatgpt|m2|D1|i2,chatgpt,D1,2,FL,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D1|i3,chatgpt,D1,3,FL,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D1|i4,chatgpt,D1,4,FL,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D1|i6,chatgpt,D1,6,LF,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D1|i5,chatgpt,D1,5,LF,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D1|i7,chatgpt,D1,7,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D1|i8,chatgpt,D1,8,FL,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D1|i9,chatgpt,D1,9,LF,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D1|i11,chatgpt,D1,11,FL,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D1|i12,chatgpt,D1,12,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D1|i10,chatgpt,D1,10,LF,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D1|i13,chatgpt,D1,13,LF,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D1|i14,chatgpt,D1,14,FL,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D2|i0,chatgpt,D2,0,LF,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D2|i1,chatgpt,D2,1,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D2|i2,chatgpt,D2,2,FL,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D2|i3,chatgpt,D2,3,LF,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D2|i4,chatgpt,D2,4,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i5,chatgpt,D2,5,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i6,chatgpt,D2,6,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i7,chatgpt,D2,7,LF,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D2|i8,chatgpt,D2,8,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i9,chatgpt,D2,9,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i10,chatgpt,D2,10,FL,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D2|i12,chatgpt,D2,12,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i13,chatgpt,D2,13,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i11,chatgpt,D2,11,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D2|i14,chatgpt,D2,14,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D3|i1,chatgpt,D3,1,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i0,chatgpt,D3,0,FL,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D3|i2,chatgpt,D3,2,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i3,chatgpt,D3,3,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i4,chatgpt,D3,4,LF,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D3|i5,chatgpt,D3,5,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i6,chatgpt,D3,6,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i7,chatgpt,D3,7,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i8,chatgpt,D3,8,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D3|i9,chatgpt,D3,9,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i10,chatgpt,D3,10,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i11,chatgpt,D3,11,FL,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D3|i14,chatgpt,D3,14,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i13,chatgpt,D3,13,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D3|i12,chatgpt,D3,12,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D4|i1,chatgpt,D4,1,LF,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i0,chatgpt,D4,0,FL,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D4|i2,chatgpt,D4,2,LF,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i3,chatgpt,D4,3,FL,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i4,chatgpt,D4,4,FL,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i5,chatgpt,D4,5,LF,4.0,5.0,-1.0,,-2.4651630546136674
chatgpt|m2|D4|i6,chatgpt,D4,6,FL,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D4|i7,chatgpt,D4,7,LF,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i9,chatgpt,D4,9,FL,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D4|i8,chatgpt,D4,8,FL,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D4|i10,chatgpt,D4,10,FL,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i11,chatgpt,D4,11,LF,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D4|i12,chatgpt,D4,12,LF,5.0,4.0,1.0,,-0.6294033330928512
chatgpt|m2|D4|i13,chatgpt,D4,13,LF,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D4|i14,chatgpt,D4,14,LF,4.0,4.0,0.0,,-1.5472831938532592
chatgpt|m2|D5|i0,chatgpt,D5,0,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D5|i2,chatgpt,D5,2,FL,7.0,2.0,5.0,,3.0421161099487803
chatgpt|m2|D5|i1,chatgpt,D5,1,LF,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i4,chatgpt,D5,4,LF,7.0,2.0,5.0,,3.0421161099487803
chatgpt|m2|D5|i3,chatgpt,D5,3,LF,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i6,chatgpt,D5,6,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D5|i5,chatgpt,D5,5,FL,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i7,chatgpt,D5,7,LF,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i9,chatgpt,D5,9,FL,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i8,chatgpt,D5,8,LF,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i10,chatgpt,D5,10,FL,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D5|i12,chatgpt,D5,12,FL,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D5|i13,chatgpt,D5,13,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D5|i11,chatgpt,D5,11,FL,7.0,3.0,4.0,,2.1242362491883724
chatgpt|m2|D5|i14,chatgpt,D5,14,LF,6.0,3.0,3.0,,1.2063563884279649
chatgpt|m2|D6|i0,chatgpt,D6,0,LF,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D6|i2,chatgpt,D6,2,FL,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D6|i1,chatgpt,D6,1,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D6|i3,chatgpt,D6,3,FL,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D6|i4,chatgpt,D6,4,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D6|i6,chatgpt,D6,6,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D6|i5,chatgpt,D6,5,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D6|i7,chatgpt,D6,7,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D6|i8,chatgpt,D6,8,LF,5.0,5.0,0.0,,-1.5472831938532592
chatgpt|m2|D6|i9,chatgpt,D6,9,LF,6.0,6.0,0.0,,-1.5472831938532592
chatgpt|m2|D6|i10,chatgpt,D6,10,LF,7.0,6.0,1.0,,-0.6294033330928512
chatgpt|m2|D6|i11,chatgpt,D6,11,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D6|i12,chatgpt,D6,12,LF,7.0,4.0,3.0,,1.2063563884279649
chatgpt|m2|D6|i14,chatgpt,D6,14,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D6|i13,chatgpt,D6,13,FL,6.0,4.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i0,chatgpt,D7,0,LF,6.0,5.0,1.0,,-0.6294033330928512
chatgpt|m2|D7|i1,chatgpt,D7,1,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i2,chatgpt,D7,2,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i3,chatgpt,D7,3,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i4,chatgpt,D7,4,LF,8.0,5.0,3.0,,1.2063563884279649
chatgpt|m2|D7|i6,chatgpt,D7,6,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i5,chatgpt,D7,5,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i7,chatgpt,D7,7,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i10,chatgpt,D7,10,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i8,chatgpt,D7,8,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i9,chatgpt,D7,9,LF,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i11,chatgpt,D7,11,LF,7.0,6.0,1.0,,-0.6294033330928512
chatgpt|m2|D7|i12,chatgpt,D7,12,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i14,chatgpt,D7,14,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D7|i13,chatgpt,D7,13,FL,7.0,5.0,2.0,,0.28847652766755677
chatgpt|m2|D1|i0,chatgpt,D1,0,FL,7.0,5.0,2.0,,0.28847652766755677
claude|m2|D1|i0,claude,D1,0,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i3,claude,D1,3,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i5,claude,D1,5,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D1|i4,claude,D1,4,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i9,claude,D1,9,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i7,claude,D1,7,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D1|i11,claude,D1,11,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i12,claude,D1,12,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D1|i14,claude,D1,14,LF,6.0,,,PR,
claude|m2|D1|i10,claude,D1,10,FL,5.0,,,PR,
claude|m2|D2|i1,claude,D2,1,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D2|i2,claude,D2,2,LF,6.0,5.0,1.0,,-0.052175885704047374
