model_key,method,cat,n
chatgpt,m1,SUBSTANTIVA,105
chatgpt,m10,EA,3
chatgpt,m10,PR,7
chatgpt,m2,SUBSTANTIVA,210
chatgpt,m3,EA,6
chatgpt,m3,SUBSTANTIVA,99
chatgpt,m6,SUBSTANTIVA,30
claude,m1,EA,19
claude,m1,PR,59
claude,m1,SUBSTANTIVA,27
claude,m10,PR,10
claude,m2,EA,1
claude,m2,PR,94
claude,m2,SUBSTANTIVA,115
claude,m3,EA,34
claude,m3,PR,56
claude,m3,SUBSTANTIVA,15
claude,m6,SUBSTANTIVA,30
deepseek,m1,EA,3
deepseek,m1,PR,2
deepseek,m1,SUBSTANTIVA,100
deepseek,m10,EA,4
deepseek,m10,PR,3
deepseek,m10,SUBSTANTIVA,3
deepseek,m2,SUBSTANTIVA,210
deepseek,m3,IF,3
deepseek,m3,PR,3
deepseek,m3,SUBSTANTIVA,99
deepseek,m6,SUBSTANTIVA,30
gemini,m1,EA,104
gemini,m1,PR,1
gemini,m10,PR,10
gemini,m2,EA,210
gemini,m3,EA,105
gemini,m6,SUBSTANTIVA,30
